OverlapSize	Count
0	397
1	264
2	194
3	115
4	199
5	179
6	205
7	254
8	306
9	503
10	900
11	634
12	767
13	1006
14	834
15	599
16	449
17	777
18	488
19	132
20	223
21	132
22	152
23	93
24	628
25	193
26	285
27	58
28	61
29	351
30	10
31	128
32	5
33	59
34	25
35	4241
36	298
37	40
38	8
39	6
40	3
41	8
42	7
44	28
45	2
46	4
47	19
48	6
49	12
50	3
51	30
52	17
53	1
54	157
56	12
58	134
59	3
61	10
62	13
63	3
64	13
65	2
68	5
74	1
76	4
78	3
81	2
82	507
84	4
85	6
87	5
88	4
90	71
91	28
97	302
102	1
112	2
120	1
121	1
123	1
130	1
131	1
133	1
140	1
