OverlapSize	Count
0	198
1	171
2	78
3	52
4	63
5	49
6	51
7	56
8	113
9	94
10	113
11	165
12	234
13	199
14	216
15	148
16	74
17	120
18	48
19	97
20	45
21	22
22	31
23	11
24	63
25	35
26	1
27	13
28	17
29	24
30	34
31	44
32	5
33	2
34	11
35	13
36	1
37	2
38	2
39	3
41	6
42	47
43	5
44	3
45	2
46	2
47	2
48	4
49	5
50	3
52	21
53	2
55	8
56	11
57	16
58	2
61	1
62	1
63	2
65	1
66	1
67	9
69	1
71	10
72	1
73	1
75	16
77	3
82	1
84	1
87	1
88	2
89	1
90	5
91	15
94	4
96	11
98	1
99	29
100	10
101	1
102	2
104	2
107	3
108	2
110	4
111	1
112	6
114	2
117	7
118	3
121	6
123	1
125	1
126	2
127	5
128	6
129	2
134	3
135	3
136	1
141	1
142	3
143	1
144	6
148	2
