OverlapSize	Count
0	122
1	100
2	53
3	30
4	29
5	45
6	34
7	43
8	71
9	83
10	83
11	128
12	135
13	128
14	135
15	101
16	78
17	71
18	30
19	72
20	40
21	13
22	26
23	16
24	40
25	57
26	3
27	6
28	12
29	13
30	27
31	62
32	6
33	1
34	2
35	1
36	1
37	2
39	2
40	3
41	6
42	38
43	3
44	4
45	2
46	2
47	1
48	2
49	1
50	6
51	2
52	11
53	4
54	2
55	9
56	3
57	4
58	2
59	2
63	6
65	5
67	2
71	4
72	2
75	19
77	2
78	1
80	1
81	1
82	1
86	2
87	2
88	2
91	6
93	3
94	2
96	6
98	1
99	13
100	3
102	2
107	3
112	2
113	2
114	3
116	1
117	3
118	3
119	2
121	2
123	1
127	1
128	5
129	2
131	1
134	3
135	3
136	1
141	1
142	2
143	1
144	3
