OverlapSize	Count
0	153
1	108
2	78
3	35
4	55
5	45
6	47
7	63
8	95
9	106
10	111
11	147
12	194
13	185
14	149
15	139
16	82
17	106
18	25
19	86
20	43
21	17
22	24
23	11
24	65
25	56
26	2
27	12
28	10
29	30
30	22
31	60
32	9
33	5
34	4
35	4
36	1
37	3
38	1
39	2
40	3
41	4
42	40
43	7
44	2
46	3
48	5
49	5
50	4
52	12
53	2
54	1
55	7
56	2
57	14
60	2
61	1
62	1
63	3
65	4
67	11
71	5
72	2
75	12
77	1
82	1
84	1
86	1
88	2
90	1
91	14
93	5
94	2
96	5
99	22
100	5
101	1
104	1
107	4
109	1
110	3
112	4
113	1
114	5
116	1
117	8
118	3
121	1
122	1
126	1
127	4
129	2
135	1
140	1
141	2
142	3
143	1
144	2
