Genotype,F1,F2,plate,Position,Drug,DC,FvFm,Root
B,2,62,15,115,0.4,C,0.647,28.407
B,2,69,15,116,0.4,C,0.712,24.914
BA,2,13,15,117,0.4,C,0.589,23.075
BA,2,26,15,118,0.4,C,0.63,26.918
W,2,16,15,119,0.4,C,0.751,40.481
W,2,41,15,120,0.4,C,0.759,34.438
A,2,8,16,121,2,D,0.385,18.663
A,2,9,16,122,2,D,0.211,14.899
B,2,62,16,123,2,D,0.382,8.004
B,2,69,16,124,2,D,0.337,19.986
BA,2,13,16,125,2,D,0.365,19.242
BA,2,26,16,126,2,D,0.248,14.65
W,2,16,16,127,2,D,0.477,6.192
W,2,41,16,128,2,D,0.596,32.51
B,2,62,17,129,2,D,0.288,4.423
B,2,69,17,130,2,D,0.321,14.758
BA,2,13,17,131,2,D,0.367,1.038
BA,2,26,17,132,2,D,0.416,5.403
W,2,16,17,133,2,D,0.64,33.798
W,2,41,17,134,2,D,0.607,32.539
A,2,8,17,135,2,D,0.231,16.893
A,2,9,17,136,2,D,0.28,23.112
BA,2,13,18,137,2,D,0.319,NA
BA,2,26,18,138,2,D,0.46,20.644
W,2,16,18,139,2,D,0.681,24.909
W,2,41,18,140,2,D,0.631,31.178
A,2,8,18,141,2,D,0.455,21.221
A,2,9,18,142,2,D,0.442,9.558
B,2,62,18,143,2,D,0.417,17.988
B,2,69,18,144,2,D,0.412,11.802
W,2,16,19,145,2,D,0.648,34.919
W,2,41,19,146,2,D,0.642,33.311
A,2,8,19,147,2,D,0.329,4.255
A,2,9,19,148,2,D,0.405,3.408
B,2,62,19,149,2,D,0.374,19.861
B,2,69,19,150,2,D,0.317,12.442
BA,2,13,19,151,2,D,0.432,0.757
BA,2,26,19,152,2,D,0.429,5.784
A,2,8,20,153,2,D,0.31,17.93
A,2,9,20,154,2,D,0.404,4.52
B,2,62,20,155,2,D,0.341,15.194
B,2,69,20,156,2,D,0.337,2.572
BA,2,13,20,157,2,D,0.383,9.213
BA,2,26,20,158,2,D,0.355,12.01
W,2,16,20,159,2,D,0.613,32.557
W,2,41,20,160,2,D,0.539,30.337
A,2,8,21,161,10,E,0,4.84
A,2,9,21,162,10,E,0,4.722
B,2,62,21,163,10,E,0,4.536
B,2,69,21,164,10,E,0,6.431
BA,2,13,21,165,10,E,0,4.354
BA,2,26,21,166,10,E,0,3.154
W,2,16,21,167,10,E,0.243,4.216
W,2,41,21,168,10,E,0.307,7.145
B,2,62,22,169,10,E,0,5.61
B,2,69,22,170,10,E,0,4.52
BA,2,13,22,171,10,E,0,5.199
BA,2,26,22,172,10,E,0,4.343
W,2,16,22,173,10,E,0.275,7.733
W,2,41,22,174,10,E,0.342,6.619
A,2,8,22,175,10,E,0,6.285
A,2,9,22,176,10,E,0,4.878
BA,2,13,23,177,10,E,0,5.334
BA,2,26,23,178,10,E,0,5.155
W,2,16,23,179,10,E,0.222,7.004
W,2,41,23,180,10,E,0.351,7.112
A,2,8,23,181,10,E,0,6.686
A,2,9,23,182,10,E,0,5.782
B,2,62,23,183,10,E,0,6.456
B,2,69,23,184,10,E,0,4.802
W,2,16,24,185,10,E,0.246,7.596
W,2,41,24,186,10,E,0.165,4.761
A,2,8,24,187,10,E,0,6.463
A,2,9,24,188,10,E,0,3.805
B,2,62,24,189,10,E,0,5.936
B,2,69,24,190,10,E,0,4.579
BA,2,13,24,191,10,E,0,4.912
BA,2,26,24,192,10,E,0,4.895
A,2,8,25,193,10,E,0,5.153
A,2,9,25,194,10,E,0,4.722
B,2,62,25,195,10,E,0,5.446
B,2,69,25,196,10,E,0,4.302
BA,2,13,25,197,10,E,0,3.824
BA,2,26,25,198,10,E,0,5.348
W,2,16,25,199,10,E,0.307,10.302
W,2,41,25,200,10,E,0.24,8.088
