original_order,Genotype,F1,F2,plate,block,Drug,Conentration,DC,FvFm,root_mm
100,W,2,6,13,1,Ethanol,0.0001,A,0.707,7.478
101,AC1,8,NA,13,1,Ethanol,0.0001,A,0.716,13.899
102,AC2,13,NA,13,1,Ethanol,0.0001,A,0.713,24.225
103,BC1,17,NA,13,1,Ethanol,0.0001,A,0.699,23.406
104,BC2,22,NA,13,1,Ethanol,0.0001,A,0.69,25.077
105,B,2,62,14,2,Ethanol,0.0001,A,0.71,27.867
106,AB,2,13,14,2,Ethanol,0.0001,A,0.652,3.344
107,W,2,6,14,2,Ethanol,0.0001,A,0.703,24.51
108,AC1,8,NA,14,2,Ethanol,0.0001,A,0.71,23.856
109,AC2,13,NA,14,2,Ethanol,0.0001,A,0.692,25.344
110,BC1,17,NA,14,2,Ethanol,0.0001,A,0.723,23.633
111,BC2,22,NA,14,2,Ethanol,0.0001,A,0.701,24.764
112,A,2,9,14,2,Ethanol,0.0001,A,0.652,3.669
113,AB,2,13,15,3,Ethanol,0.0001,A,0.736,17.176
114,W,2,6,15,3,Ethanol,0.0001,A,0.609,2.298
115,AC1,8,NA,15,3,Ethanol,0.0001,A,0.718,18.948
116,AC2,13,NA,15,3,Ethanol,0.0001,A,0.726,28.093
117,BC1,17,NA,15,3,Ethanol,0.0001,A,0.715,24.606
118,BC2,22,NA,15,3,Ethanol,0.0001,A,0.706,27.18
119,A,2,9,15,3,Ethanol,0.0001,A,0.705,17.493
120,B,2,62,15,3,Ethanol,0.0001,A,0.696,26.595
121,W,2,6,16,4,Ethanol,0.0001,A,0.715,28.567
122,AC1,8,NA,16,4,Ethanol,0.0001,A,0.538,2.202
123,AC2,13,NA,16,4,Ethanol,0.0001,A,0.712,29.735
124,BC1,17,NA,16,4,Ethanol,0.0001,A,0.71,27.482
125,BC2,22,NA,16,4,Ethanol,0.0001,A,0.708,29.402
126,A,2,9,16,4,Ethanol,0.0001,A,0.699,14.413
127,B,2,62,16,4,Ethanol,0.0001,A,0.698,26.778
128,AB,2,13,16,4,Ethanol,0.0001,A,0.709,25.925
129,AC1,8,NA,17,5,Ethanol,0.0001,A,0.726,8.23
130,AC2,13,NA,17,5,Ethanol,0.0001,A,0.723,25.772
131,BC1,17,NA,17,5,Ethanol,0.0001,A,0.72,5.863
132,BC2,22,NA,17,5,Ethanol,0.0001,A,0.72,25.594
133,A,2,9,17,5,Ethanol,0.0001,A,0.626,4.942
134,B,2,62,17,5,Ethanol,0.0001,A,0.735,20.917
135,AB,2,13,17,5,Ethanol,0.0001,A,0.73,13.306
136,W,2,6,17,5,Ethanol,0.0001,A,,
137,AC2,13,NA,18,6,Ethanol,0.0001,A,0.726,25.448
138,BC1,17,NA,18,6,Ethanol,0.0001,A,0.723,26.789
139,BC2,22,NA,18,6,Ethanol,0.0001,A,0.714,25.754
140,A,2,9,18,6,Ethanol,0.0001,A,0.644,4.422
141,B,2,62,18,6,Ethanol,0.0001,A,0.721,27.457
142,AB,2,13,18,6,Ethanol,0.0001,A,0.571,3.261
143,W,2,6,18,6,Ethanol,0.0001,A,0.716,28.066
144,AC1,8,NA,18,6,Ethanol,0.0001,A,0.717,23.173
145,BC1,17,NA,19,7,Ethanol,0.0001,A,0.723,21.711
146,BC2,22,NA,19,7,Ethanol,0.0001,A,0.731,26.216
147,A,2,9,19,7,Ethanol,0.0001,A,0.733,29.998
148,B,2,62,19,7,Ethanol,0.0001,A,0.73,14.252
149,AB,2,13,19,7,Ethanol,0.0001,A,0.725,27.391
150,W,2,6,19,7,Ethanol,0.0001,A,0.724,27.067
151,AC1,8,NA,19,7,Ethanol,0.0001,A,0.72,22.343
152,AC2,13,NA,19,7,Ethanol,0.0001,A,0.717,29.9
153,BC2,22,NA,20,8,Ethanol,0.0001,A,0.731,11.236
154,A,2,9,20,8,Ethanol,0.0001,A,0.762,14.572
155,B,2,62,20,8,Ethanol,0.0001,A,0.753,27.566
156,AB,2,13,20,8,Ethanol,0.0001,A,0.758,17.153
157,W,2,6,20,8,Ethanol,0.0001,A,0.747,28.606
158,AC1,8,NA,20,8,Ethanol,0.0001,A,0.733,29.511
159,AC2,13,NA,20,8,Ethanol,0.0001,A,0.737,27.135
160,BC1,17,NA,20,8,Ethanol,0.0001,A,0.73,7.316
161,A,2,9,21,9,Ethanol,0.0001,A,,
162,B,2,62,21,9,Ethanol,0.0001,A,0.71,25.165
163,AB,2,13,21,9,Ethanol,0.0001,A,0.7,8.29
164,W,2,6,21,9,Ethanol,0.0001,A,0.702,27.418
165,AC1,8,NA,21,9,Ethanol,0.0001,A,0.699,19.898
166,AC2,13,NA,21,9,Ethanol,0.0001,A,0.69,30.11
167,BC1,17,NA,21,9,Ethanol,0.0001,A,0.701,26.492
168,BC2,22,NA,21,9,Ethanol,0.0001,A,0.709,5.636
169,B,2,62,22,10,Ethanol,0.0001,A,0.715,14.839
170,AB,2,13,22,10,Ethanol,0.0001,A,,
171,W,2,6,22,10,Ethanol,0.0001,A,0.721,26.869
172,AC1,8,NA,22,10,Ethanol,0.0001,A,0.695,25.449
173,AC2,13,NA,22,10,Ethanol,0.0001,A,0.71,9.548
174,BC1,17,NA,22,10,Ethanol,0.0001,A,0.699,25.05
175,BC2,22,NA,22,10,Ethanol,0.0001,A,0.696,28.14
176,A,2,9,22,10,Ethanol,0.0001,A,0.698,29.241
177,AB,2,13,23,11,Ethanol,0.0001,A,0.644,3.75
178,W,2,6,23,11,Ethanol,0.0001,A,0.726,22.393
179,AC1,8,NA,23,11,Ethanol,0.0001,A,0.7,22.892
180,AC2,13,NA,23,11,Ethanol,0.0001,A,0.691,25.694
181,BC1,17,NA,23,11,Ethanol,0.0001,A,0.689,23.188
182,BC2,22,NA,23,11,Ethanol,0.0001,A,0.697,10.199
183,A,2,9,23,11,Ethanol,0.0001,A,0.643,0.194
184,B,2,62,23,11,Ethanol,0.0001,A,0.729,23.97
185,W,2,6,24,12,Ethanol,0.0001,A,0.717,12.028
186,AC1,8,NA,24,12,Ethanol,0.0001,A,0.7,20.775
187,AC2,13,NA,24,12,Ethanol,0.0001,A,0.706,27.25
188,BC1,17,NA,24,12,Ethanol,0.0001,A,0.704,25.288
189,BC2,22,NA,24,12,Ethanol,0.0001,A,0.731,22.452
190,A,2,9,24,12,Ethanol,0.0001,A,0.617,1.177
191,B,2,62,24,12,Ethanol,0.0001,A,0.69,7.17
192,AB,2,13,24,12,Ethanol,0.0001,A,0.668,4.836
193,A,2,9,25,1,Chloramphenicol,2 ug/mL,Chl_2,0,1.345
194,B,2,62,25,1,Chloramphenicol,2 ug/mL,Chl_2,0.294,1.509
195,AB,2,13,25,1,Chloramphenicol,2 ug/mL,Chl_2,0.397,7.349
196,W,2,6,25,1,Chloramphenicol,2 ug/mL,Chl_2,0.688,6.958
197,AC1,8,NA,25,1,Chloramphenicol,2 ug/mL,Chl_2,0.372,1.696
198,AC2,13,NA,25,1,Chloramphenicol,2 ug/mL,Chl_2,0.59,4.79
199,BC1,17,NA,25,1,Chloramphenicol,2 ug/mL,Chl_2,0.656,7.441
200,BC2,22,NA,25,1,Chloramphenicol,2 ug/mL,Chl_2,0.659,6.418
201,B,2,62,26,2,Chloramphenicol,2 ug/mL,Chl_2,0.296,3.869
202,AB,2,13,26,2,Chloramphenicol,2 ug/mL,Chl_2,0.347,1.978
203,W,2,6,26,2,Chloramphenicol,2 ug/mL,Chl_2,0.695,7.145
204,AC1,8,NA,26,2,Chloramphenicol,2 ug/mL,Chl_2,0.367,4.518
205,AC2,13,NA,26,2,Chloramphenicol,2 ug/mL,Chl_2,0.609,4.471
206,BC1,17,NA,26,2,Chloramphenicol,2 ug/mL,Chl_2,0.622,5.939
207,BC2,22,NA,26,2,Chloramphenicol,2 ug/mL,Chl_2,0.414,4.664
208,A,2,9,26,2,Chloramphenicol,2 ug/mL,Chl_2,,
209,AB,2,13,3,3,Chloramphenicol,2 ug/mL,Chl_2,0,3.175
210,W,2,6,3,3,Chloramphenicol,2 ug/mL,Chl_2,0.707,8.688
211,AC1,8,NA,3,3,Chloramphenicol,2 ug/mL,Chl_2,0.426,4.513
212,AC2,13,NA,3,3,Chloramphenicol,2 ug/mL,Chl_2,0.357,4.047
213,BC1,17,NA,3,3,Chloramphenicol,2 ug/mL,Chl_2,0.614,5.544
214,BC2,22,NA,3,3,Chloramphenicol,2 ug/mL,Chl_2,0.305,0.55
215,A,2,9,3,3,Chloramphenicol,2 ug/mL,Chl_2,0,3.456
216,B,2,62,3,3,Chloramphenicol,2 ug/mL,Chl_2,0.21,3.45
217,W,2,6,4,4,Chloramphenicol,2 ug/mL,Chl_2,0.699,8.206
218,AC1,8,NA,4,4,Chloramphenicol,2 ug/mL,Chl_2,0.597,4.827
219,AC2,13,NA,4,4,Chloramphenicol,2 ug/mL,Chl_2,0.652,5.137
220,BC1,17,NA,4,4,Chloramphenicol,2 ug/mL,Chl_2,0.666,4.386
221,BC2,22,NA,4,4,Chloramphenicol,2 ug/mL,Chl_2,0.708,7.408
222,A,2,9,4,4,Chloramphenicol,2 ug/mL,Chl_2,0.409,4.77
223,B,2,62,4,4,Chloramphenicol,2 ug/mL,Chl_2,0.282,3.686
224,AB,2,13,4,4,Chloramphenicol,2 ug/mL,Chl_2,0.321,3.238
225,AC1,8,NA,5,5,Chloramphenicol,2 ug/mL,Chl_2,0.55,5.174
226,AC2,13,NA,5,5,Chloramphenicol,2 ug/mL,Chl_2,0.692,7.999
227,BC1,17,NA,5,5,Chloramphenicol,2 ug/mL,Chl_2,0.422,6.797
228,BC2,22,NA,5,5,Chloramphenicol,2 ug/mL,Chl_2,0.707,3.486
229,A,2,9,5,5,Chloramphenicol,2 ug/mL,Chl_2,0.441,2.512
230,B,2,62,5,5,Chloramphenicol,2 ug/mL,Chl_2,0.302,2.144
231,AB,2,13,5,5,Chloramphenicol,2 ug/mL,Chl_2,0.49,4.375
232,W,2,6,5,5,Chloramphenicol,2 ug/mL,Chl_2,0.681,8.643
233,AC2,13,NA,6,6,Chloramphenicol,2 ug/mL,Chl_2,0.66,5.116
234,BC1,17,NA,6,6,Chloramphenicol,2 ug/mL,Chl_2,0.706,8.439
235,BC2,22,NA,6,6,Chloramphenicol,2 ug/mL,Chl_2,0.69,6.489
236,A,2,9,6,6,Chloramphenicol,2 ug/mL,Chl_2,0.337,3.18
237,B,2,62,6,6,Chloramphenicol,2 ug/mL,Chl_2,0.397,3.868
238,AB,2,13,6,6,Chloramphenicol,2 ug/mL,Chl_2,0.367,3.181
239,W,2,6,6,6,Chloramphenicol,2 ug/mL,Chl_2,0.704,8.28
240,AC1,8,NA,6,6,Chloramphenicol,2 ug/mL,Chl_2,0.622,4.977
241,BC1,17,NA,7,7,Chloramphenicol,2 ug/mL,Chl_2,0.688,5.397
242,BC2,22,NA,7,7,Chloramphenicol,2 ug/mL,Chl_2,0.4,3.667
243,A,2,9,7,7,Chloramphenicol,2 ug/mL,Chl_2,0.403,6.071
244,B,2,62,7,7,Chloramphenicol,2 ug/mL,Chl_2,0.383,4.091
245,AB,2,13,7,7,Chloramphenicol,2 ug/mL,Chl_2,0.466,3.577
246,W,2,6,7,7,Chloramphenicol,2 ug/mL,Chl_2,0.698,8.608
247,AC1,8,NA,7,7,Chloramphenicol,2 ug/mL,Chl_2,0.545,5.907
248,AC2,13,NA,7,7,Chloramphenicol,2 ug/mL,Chl_2,0.655,4.943
249,BC2,22,NA,8,8,Chloramphenicol,2 ug/mL,Chl_2,0.709,7.096
250,A,2,9,8,8,Chloramphenicol,2 ug/mL,Chl_2,0.469,5.645
251,B,2,62,8,8,Chloramphenicol,2 ug/mL,Chl_2,0.341,4.762
252,AB,2,13,8,8,Chloramphenicol,2 ug/mL,Chl_2,0.451,6.92
253,W,2,6,8,8,Chloramphenicol,2 ug/mL,Chl_2,0.702,8.791
254,AC1,8,NA,8,8,Chloramphenicol,2 ug/mL,Chl_2,0.566,5.135
255,AC2,13,NA,8,8,Chloramphenicol,2 ug/mL,Chl_2,0.346,0.254
256,BC1,17,NA,8,8,Chloramphenicol,2 ug/mL,Chl_2,0.651,6.804
257,A,2,9,9,9,Chloramphenicol,2 ug/mL,Chl_2,0.206,2.546
258,B,2,62,9,9,Chloramphenicol,2 ug/mL,Chl_2,,
259,AB,2,13,9,9,Chloramphenicol,2 ug/mL,Chl_2,0.295,4.606
260,W,2,6,9,9,Chloramphenicol,2 ug/mL,Chl_2,0.7,8.283
261,AC1,8,NA,9,9,Chloramphenicol,2 ug/mL,Chl_2,0.46,3.57
262,AC2,13,NA,9,9,Chloramphenicol,2 ug/mL,Chl_2,0.488,6.278
263,BC1,17,NA,9,9,Chloramphenicol,2 ug/mL,Chl_2,0.679,6.822
264,BC2,22,NA,9,9,Chloramphenicol,2 ug/mL,Chl_2,0.695,6.34
265,B,2,62,10,10,Chloramphenicol,2 ug/mL,Chl_2,0.399,4.665
266,AB,2,13,10,10,Chloramphenicol,2 ug/mL,Chl_2,0.333,4.792
267,W,2,6,10,10,Chloramphenicol,2 ug/mL,Chl_2,0.685,8.609
268,AC1,8,NA,10,10,Chloramphenicol,2 ug/mL,Chl_2,0.557,4.124
269,AC2,13,NA,10,10,Chloramphenicol,2 ug/mL,Chl_2,,5.523
270,BC1,17,NA,10,10,Chloramphenicol,2 ug/mL,Chl_2,0.703,8.446
271,BC2,22,NA,10,10,Chloramphenicol,2 ug/mL,Chl_2,0.71,8.332
272,A,2,9,10,10,Chloramphenicol,2 ug/mL,Chl_2,0.204,2.311
273,AB,2,13,11,11,Chloramphenicol,2 ug/mL,Chl_2,0.186,3.349
274,W,2,6,11,11,Chloramphenicol,2 ug/mL,Chl_2,0.637,6.293
275,AC1,8,NA,11,11,Chloramphenicol,2 ug/mL,Chl_2,0.376,3.866
276,AC2,13,NA,11,11,Chloramphenicol,2 ug/mL,Chl_2,0.509,7.95
277,BC1,17,NA,11,11,Chloramphenicol,2 ug/mL,Chl_2,0.226,2.427
278,BC2,22,NA,11,11,Chloramphenicol,2 ug/mL,Chl_2,0.693,4.87
279,A,2,9,11,11,Chloramphenicol,2 ug/mL,Chl_2,0.238,3.328
280,B,2,62,11,11,Chloramphenicol,2 ug/mL,Chl_2,0.331,3.908
281,W,2,6,12,12,Chloramphenicol,2 ug/mL,Chl_2,0.704,7.634
282,AC1,8,NA,12,12,Chloramphenicol,2 ug/mL,Chl_2,0.486,3.461
283,AC2,13,NA,12,12,Chloramphenicol,2 ug/mL,Chl_2,0.485,4.598
284,BC1,17,NA,12,12,Chloramphenicol,2 ug/mL,Chl_2,0.657,5.243
285,BC2,22,NA,12,12,Chloramphenicol,2 ug/mL,Chl_2,0.706,8.069
286,A,2,9,12,12,Chloramphenicol,2 ug/mL,Chl_2,0.172,1.547
287,B,2,62,12,12,Chloramphenicol,2 ug/mL,Chl_2,0.196,3.157
288,AB,2,13,12,12,Chloramphenicol,2 ug/mL,Chl_2,0.263,4.186
289,A,2,9,1,1,Erythromycin,2 ug/mL,Ery_2,0.25,13.17
290,B,2,62,1,1,Erythromycin,2 ug/mL,Ery_2,0.452,17.148
291,AB,2,13,1,1,Erythromycin,2 ug/mL,Ery_2,0.226,10.548
292,W,2,6,1,1,Erythromycin,2 ug/mL,Ery_2,0.581,17.291
293,AC1,8,NA,1,1,Erythromycin,2 ug/mL,Ery_2,0.48,18.364
294,AC2,13,NA,1,1,Erythromycin,2 ug/mL,Ery_2,0.401,19.449
295,BC1,17,NA,1,1,Erythromycin,2 ug/mL,Ery_2,0.257,6.347
296,BC2,22,NA,1,1,Erythromycin,2 ug/mL,Ery_2,0.542,19.901
297,B,2,62,2,2,Erythromycin,2 ug/mL,Ery_2,0.442,4.593
298,AB,2,13,2,2,Erythromycin,2 ug/mL,Ery_2,0.42,6.426
299,W,2,6,2,2,Erythromycin,2 ug/mL,Ery_2,0.639,2.792
300,AC1,8,NA,2,2,Erythromycin,2 ug/mL,Ery_2,0.453,12.923
301,AC2,13,NA,2,2,Erythromycin,2 ug/mL,Ery_2,0.412,14.413
302,BC1,17,NA,2,2,Erythromycin,2 ug/mL,Ery_2,0.403,15.009
303,BC2,22,NA,2,2,Erythromycin,2 ug/mL,Ery_2,0.407,17.228
304,A,2,9,2,2,Erythromycin,2 ug/mL,Ery_2,0.402,15.39
305,AB,2,13,3,3,Erythromycin,2 ug/mL,Ery_2,0.227,13.955
306,W,2,6,3,3,Erythromycin,2 ug/mL,Ery_2,0.431,0.314
307,AC1,8,NA,3,3,Erythromycin,2 ug/mL,Ery_2,0.334,4.305
308,AC2,13,NA,3,3,Erythromycin,2 ug/mL,Ery_2,0.554,23.306
309,BC1,17,NA,3,3,Erythromycin,2 ug/mL,Ery_2,0.386,3.526
310,BC2,22,NA,3,3,Erythromycin,2 ug/mL,Ery_2,0.325,7.035
311,A,2,9,3,3,Erythromycin,2 ug/mL,Ery_2,0.269,1.261
312,B,2,62,3,3,Erythromycin,2 ug/mL,Ery_2,0.297,14.31
313,W,2,6,4,4,Erythromycin,2 ug/mL,Ery_2,0.571,23.236
314,AC1,8,NA,4,4,Erythromycin,2 ug/mL,Ery_2,0.484,15.95
315,AC2,13,NA,4,4,Erythromycin,2 ug/mL,Ery_2,0.426,19.177
316,BC1,17,NA,4,4,Erythromycin,2 ug/mL,Ery_2,0.494,16.283
317,BC2,22,NA,4,4,Erythromycin,2 ug/mL,Ery_2,0.634,25.811
318,A,2,9,4,4,Erythromycin,2 ug/mL,Ery_2,0.287,4.96
319,B,2,62,4,4,Erythromycin,2 ug/mL,Ery_2,0.32,16.521
320,AB,2,13,4,4,Erythromycin,2 ug/mL,Ery_2,0.279,15.621
321,AC1,8,NA,5,5,Erythromycin,2 ug/mL,Ery_2,0.325,10.914
322,AC2,13,NA,5,5,Erythromycin,2 ug/mL,Ery_2,0.509,22.177
323,BC1,17,NA,5,5,Erythromycin,2 ug/mL,Ery_2,0.578,20.819
324,BC2,22,NA,5,5,Erythromycin,2 ug/mL,Ery_2,0.434,15.1
325,A,2,9,5,5,Erythromycin,2 ug/mL,Ery_2,0.375,4.696
326,B,2,62,5,5,Erythromycin,2 ug/mL,Ery_2,0.236,6.061
327,AB,2,13,5,5,Erythromycin,2 ug/mL,Ery_2,0.313,13.783
328,W,2,6,5,5,Erythromycin,2 ug/mL,Ery_2,0.647,6.875
329,AC2,13,NA,6,6,Erythromycin,2 ug/mL,Ery_2,0.476,2.311
330,BC1,17,NA,6,6,Erythromycin,2 ug/mL,Ery_2,0.562,20.086
331,BC2,22,NA,6,6,Erythromycin,2 ug/mL,Ery_2,0.585,21.777
332,A,2,9,6,6,Erythromycin,2 ug/mL,Ery_2,,
333,B,2,62,6,6,Erythromycin,2 ug/mL,Ery_2,0.359,8.222
334,AB,2,13,6,6,Erythromycin,2 ug/mL,Ery_2,0.31,5.296
335,W,2,6,6,6,Erythromycin,2 ug/mL,Ery_2,0.6,21.959
336,AC1,8,NA,6,6,Erythromycin,2 ug/mL,Ery_2,0.409,7.298
337,BC1,17,NA,7,7,Erythromycin,2 ug/mL,Ery_2,0.56,15.871
338,BC2,22,NA,7,7,Erythromycin,2 ug/mL,Ery_2,0.483,15.438
339,A,2,9,7,7,Erythromycin,2 ug/mL,Ery_2,0.352,6.915
340,B,2,62,7,7,Erythromycin,2 ug/mL,Ery_2,0.27,12.277
341,AB,2,13,7,7,Erythromycin,2 ug/mL,Ery_2,0.239,6.842
342,W,2,6,7,7,Erythromycin,2 ug/mL,Ery_2,0.638,24.703
343,AC1,8,NA,7,7,Erythromycin,2 ug/mL,Ery_2,0.415,5.024
344,AC2,13,NA,7,7,Erythromycin,2 ug/mL,Ery_2,0.64,21.187
345,BC2,22,NA,8,8,Erythromycin,2 ug/mL,Ery_2,0.584,2.948
346,A,2,9,8,8,Erythromycin,2 ug/mL,Ery_2,0.347,5.73
347,B,2,62,8,8,Erythromycin,2 ug/mL,Ery_2,0.275,11.851
348,AB,2,13,8,8,Erythromycin,2 ug/mL,Ery_2,0.402,3.463
349,W,2,6,8,8,Erythromycin,2 ug/mL,Ery_2,0.578,19.853
350,AC1,8,NA,8,8,Erythromycin,2 ug/mL,Ery_2,0.328,11
351,AC2,13,NA,8,8,Erythromycin,2 ug/mL,Ery_2,0.438,16.739
352,BC1,17,NA,8,8,Erythromycin,2 ug/mL,Ery_2,0.541,2.14
353,A,2,9,9,9,Erythromycin,2 ug/mL,Ery_2,0.229,9.552
354,B,2,62,9,9,Erythromycin,2 ug/mL,Ery_2,0.344,15.949
355,AB,2,13,9,9,Erythromycin,2 ug/mL,Ery_2,0.269,15.251
356,W,2,6,9,9,Erythromycin,2 ug/mL,Ery_2,0.553,21.825
357,AC1,8,NA,9,9,Erythromycin,2 ug/mL,Ery_2,0.533,18.32
358,AC2,13,NA,9,9,Erythromycin,2 ug/mL,Ery_2,0.356,15.706
359,BC1,17,NA,9,9,Erythromycin,2 ug/mL,Ery_2,0.635,21.327
360,BC2,22,NA,9,9,Erythromycin,2 ug/mL,Ery_2,0.641,23.8
361,B,2,62,10,10,Erythromycin,2 ug/mL,Ery_2,0.287,15.562
362,AB,2,13,10,10,Erythromycin,2 ug/mL,Ery_2,0.275,2.074
363,W,2,6,10,10,Erythromycin,2 ug/mL,Ery_2,0.531,17.597
364,AC1,8,NA,10,10,Erythromycin,2 ug/mL,Ery_2,0.328,11.965
365,AC2,13,NA,10,10,Erythromycin,2 ug/mL,Ery_2,0.373,12.353
366,BC1,17,NA,10,10,Erythromycin,2 ug/mL,Ery_2,0.45,7.133
367,BC2,22,NA,10,10,Erythromycin,2 ug/mL,Ery_2,0.63,22.446
368,A,2,9,10,10,Erythromycin,2 ug/mL,Ery_2,0.353,4.635
369,AB,2,13,11,11,Erythromycin,2 ug/mL,Ery_2,0.369,15.697
370,W,2,6,11,11,Erythromycin,2 ug/mL,Ery_2,0.569,19.492
371,AC1,8,NA,11,11,Erythromycin,2 ug/mL,Ery_2,0.582,1.604
372,AC2,13,NA,11,11,Erythromycin,2 ug/mL,Ery_2,0.656,22.8
373,BC1,17,NA,11,11,Erythromycin,2 ug/mL,Ery_2,0.601,19.213
374,BC2,22,NA,11,11,Erythromycin,2 ug/mL,Ery_2,0.55,21.88
375,A,2,9,11,11,Erythromycin,2 ug/mL,Ery_2,0.38,7.151
