original_order,Genotype,F1,F2,plate,block,Drug,Conentration,DC,FvFm,root_mm
376,B,2,62,11,11,Erythromycin,2 ug/mL,Ery_2,0.253,2.814
377,W,2,6,12,12,Erythromycin,2 ug/mL,Ery_2,0.6,22.732
378,AC1,8,NA,12,12,Erythromycin,2 ug/mL,Ery_2,0.382,5.184
379,AC2,13,NA,12,12,Erythromycin,2 ug/mL,Ery_2,0.379,20.297
380,BC1,17,NA,12,12,Erythromycin,2 ug/mL,Ery_2,0.606,23.381
381,BC2,22,NA,12,12,Erythromycin,2 ug/mL,Ery_2,0.664,23.108
382,A,2,9,12,12,Erythromycin,2 ug/mL,Ery_2,0.306,5.812
383,B,2,62,12,12,Erythromycin,2 ug/mL,Ery_2,0.256,2.255
384,AB,2,13,12,12,Erythromycin,2 ug/mL,Ery_2,0.318,6.843
481,A,2,9,1,1,Spectinomycin,2 ug/mL,Spec_2,0.568,2.589
482,B,2,62,1,1,Spectinomycin,2 ug/mL,Spec_2,0.264,2.938
483,AB,2,13,1,1,Spectinomycin,2 ug/mL,Spec_2,0.426,3.567
484,W,2,6,1,1,Spectinomycin,2 ug/mL,Spec_2,0.524,2.402
485,AC1,8,NA,1,1,Spectinomycin,2 ug/mL,Spec_2,0.443,5.51
486,AC2,13,NA,1,1,Spectinomycin,2 ug/mL,Spec_2,0.499,7.617
487,BC1,17,NA,1,1,Spectinomycin,2 ug/mL,Spec_2,0.382,6.874
488,BC2,22,NA,1,1,Spectinomycin,2 ug/mL,Spec_2,0.346,8.261
489,B,2,62,2,2,Spectinomycin,2 ug/mL,Spec_2,0.442,3.543
490,AB,2,13,2,2,Spectinomycin,2 ug/mL,Spec_2,0.346,2.602
491,W,2,6,2,2,Spectinomycin,2 ug/mL,Spec_2,0.521,6.826
492,AC1,8,NA,2,2,Spectinomycin,2 ug/mL,Spec_2,0.396,4.388
493,AC2,13,NA,2,2,Spectinomycin,2 ug/mL,Spec_2,0.15,1.746
494,BC1,17,NA,2,2,Spectinomycin,2 ug/mL,Spec_2,0.51,7.676
495,BC2,22,NA,2,2,Spectinomycin,2 ug/mL,Spec_2,0.414,4.082
496,A,2,9,2,2,Spectinomycin,2 ug/mL,Spec_2,0.428,3.243
497,AB,2,13,3,3,Spectinomycin,2 ug/mL,Spec_2,0.422,4.031
498,W,2,6,3,3,Spectinomycin,2 ug/mL,Spec_2,0.212,5.955
499,AC1,8,NA,3,3,Spectinomycin,2 ug/mL,Spec_2,0.47,2.84
500,AC2,13,NA,3,3,Spectinomycin,2 ug/mL,Spec_2,0.581,4.402
501,BC1,17,NA,3,3,Spectinomycin,2 ug/mL,Spec_2,0.527,6.27
502,BC2,22,NA,3,3,Spectinomycin,2 ug/mL,Spec_2,0.477,5.658
503,A,2,9,3,3,Spectinomycin,2 ug/mL,Spec_2,0.401,3.701
504,B,2,62,3,3,Spectinomycin,2 ug/mL,Spec_2,0.514,10.726
505,W,2,6,4,4,Spectinomycin,2 ug/mL,Spec_2,0.381,6.308
506,AC1,8,NA,4,4,Spectinomycin,2 ug/mL,Spec_2,0.503,6.206
507,AC2,13,NA,4,4,Spectinomycin,2 ug/mL,Spec_2,0.449,6.27
508,BC1,17,NA,4,4,Spectinomycin,2 ug/mL,Spec_2,0.414,8.481
509,BC2,22,NA,4,4,Spectinomycin,2 ug/mL,Spec_2,0.463,5.726
510,A,2,9,4,4,Spectinomycin,2 ug/mL,Spec_2,0.32,3.425
511,B,2,62,4,4,Spectinomycin,2 ug/mL,Spec_2,0.346,5.204
512,AB,2,13,4,4,Spectinomycin,2 ug/mL,Spec_2,0.435,4.539
513,AC1,8,NA,5,5,Spectinomycin,2 ug/mL,Spec_2,,3.762
514,AC2,13,NA,5,5,Spectinomycin,2 ug/mL,Spec_2,0.534,6.835
515,BC1,17,NA,5,5,Spectinomycin,2 ug/mL,Spec_2,0.468,4.946
516,BC2,22,NA,5,5,Spectinomycin,2 ug/mL,Spec_2,0.411,7.259
517,A,2,9,5,5,Spectinomycin,2 ug/mL,Spec_2,0.104,4.313
518,B,2,62,5,5,Spectinomycin,2 ug/mL,Spec_2,0.453,4.525
519,AB,2,13,5,5,Spectinomycin,2 ug/mL,Spec_2,0.41,4.392
520,W,2,6,5,5,Spectinomycin,2 ug/mL,Spec_2,0.544,4.234
521,AC2,13,NA,6,6,Spectinomycin,2 ug/mL,Spec_2,0.394,6.139
522,BC1,17,NA,6,6,Spectinomycin,2 ug/mL,Spec_2,0.366,5.31
523,BC2,22,NA,6,6,Spectinomycin,2 ug/mL,Spec_2,0.4,6.447
524,A,2,9,6,6,Spectinomycin,2 ug/mL,Spec_2,0.393,4.356
525,B,2,62,6,6,Spectinomycin,2 ug/mL,Spec_2,0.466,6.793
526,AB,2,13,6,6,Spectinomycin,2 ug/mL,Spec_2,0.421,5.6
527,W,2,6,6,6,Spectinomycin,2 ug/mL,Spec_2,0.45,4.215
528,AC1,8,NA,6,6,Spectinomycin,2 ug/mL,Spec_2,0.471,4.87
529,BC1,17,NA,7,7,Spectinomycin,2 ug/mL,Spec_2,0.369,1.458
530,BC2,22,NA,7,7,Spectinomycin,2 ug/mL,Spec_2,0.491,6.652
531,A,2,9,7,7,Spectinomycin,2 ug/mL,Spec_2,0.471,3.567
532,B,2,62,7,7,Spectinomycin,2 ug/mL,Spec_2,0.566,7.969
533,AB,2,13,7,7,Spectinomycin,2 ug/mL,Spec_2,0.426,6.802
534,W,2,6,7,7,Spectinomycin,2 ug/mL,Spec_2,0.553,1.774
535,AC1,8,NA,7,7,Spectinomycin,2 ug/mL,Spec_2,0.528,6.269
536,AC2,13,NA,7,7,Spectinomycin,2 ug/mL,Spec_2,0.468,3.746
537,BC2,22,NA,8,8,Spectinomycin,2 ug/mL,Spec_2,0.484,7.07
538,A,2,9,8,8,Spectinomycin,2 ug/mL,Spec_2,0.635,0.812
539,B,2,62,8,8,Spectinomycin,2 ug/mL,Spec_2,,
540,AB,2,13,8,8,Spectinomycin,2 ug/mL,Spec_2,0.566,2.521
541,W,2,6,8,8,Spectinomycin,2 ug/mL,Spec_2,0.535,10.588
542,AC1,8,NA,8,8,Spectinomycin,2 ug/mL,Spec_2,0.49,4.127
543,AC2,13,NA,8,8,Spectinomycin,2 ug/mL,Spec_2,0.589,6.409
544,BC1,17,NA,8,8,Spectinomycin,2 ug/mL,Spec_2,0.563,6.136
545,A,2,9,9,9,Spectinomycin,2 ug/mL,Spec_2,0.398,3.733
546,B,2,62,9,9,Spectinomycin,2 ug/mL,Spec_2,0.53,6.044
547,AB,2,13,9,9,Spectinomycin,2 ug/mL,Spec_2,0.559,3.26
548,W,2,6,9,9,Spectinomycin,2 ug/mL,Spec_2,0.576,9.007
549,AC1,8,NA,9,9,Spectinomycin,2 ug/mL,Spec_2,0.539,6.227
550,AC2,13,NA,9,9,Spectinomycin,2 ug/mL,Spec_2,0.377,5.001
551,BC1,17,NA,9,9,Spectinomycin,2 ug/mL,Spec_2,0.548,7.367
552,BC2,22,NA,9,9,Spectinomycin,2 ug/mL,Spec_2,0.388,4.64
553,B,2,62,10,10,Spectinomycin,2 ug/mL,Spec_2,0.426,4.068
554,AB,2,13,10,10,Spectinomycin,2 ug/mL,Spec_2,,7.538
555,W,2,6,10,10,Spectinomycin,2 ug/mL,Spec_2,0.517,10.653
556,AC1,8,NA,10,10,Spectinomycin,2 ug/mL,Spec_2,0.527,5.687
557,AC2,13,NA,10,10,Spectinomycin,2 ug/mL,Spec_2,0.498,5.873
558,BC1,17,NA,10,10,Spectinomycin,2 ug/mL,Spec_2,0.42,3.653
559,BC2,22,NA,10,10,Spectinomycin,2 ug/mL,Spec_2,0.507,7.082
560,A,2,9,10,10,Spectinomycin,2 ug/mL,Spec_2,0.401,1.738
561,AB,2,13,11,11,Spectinomycin,2 ug/mL,Spec_2,0.407,7.442
562,W,2,6,11,11,Spectinomycin,2 ug/mL,Spec_2,0.469,5.543
563,AC1,8,NA,11,11,Spectinomycin,2 ug/mL,Spec_2,0.571,7.215
564,AC2,13,NA,11,11,Spectinomycin,2 ug/mL,Spec_2,0.497,5.11
565,BC1,17,NA,11,11,Spectinomycin,2 ug/mL,Spec_2,0.409,5.08
566,BC2,22,NA,11,11,Spectinomycin,2 ug/mL,Spec_2,0.493,5.606
567,A,2,9,11,11,Spectinomycin,2 ug/mL,Spec_2,0.452,3.319
568,B,2,62,11,11,Spectinomycin,2 ug/mL,Spec_2,0.505,10.142
569,W,2,6,12,12,Spectinomycin,2 ug/mL,Spec_2,0.542,12.639
570,AC1,8,NA,12,12,Spectinomycin,2 ug/mL,Spec_2,0.54,3.489
571,AC2,13,NA,12,12,Spectinomycin,2 ug/mL,Spec_2,0.454,7.01
572,BC1,17,NA,12,12,Spectinomycin,2 ug/mL,Spec_2,0.319,5.621
573,BC2,22,NA,12,12,Spectinomycin,2 ug/mL,Spec_2,0.528,7.035
574,A,2,9,12,12,Spectinomycin,2 ug/mL,Spec_2,0.546,8.217
575,B,2,62,12,12,Spectinomycin,2 ug/mL,Spec_2,0.505,7.605
576,AB,2,13,12,12,Spectinomycin,2 ug/mL,Spec_2,0.395,4.53
