Genotype,F1,F2,Plate,Block,Drug,DC,Conentration,FvFm,Root,,
W,2,41,13,3,Chloramphenicol,Chl_0.4,0.4,0.775,24.773,,
A,2,8,13,3,Chloramphenicol,Chl_0.4,0.4,0.769,6.35,,
A,2,9,13,3,Chloramphenicol,Chl_0.4,0.4,0.756,14.878,,
B,2,62,13,3,Chloramphenicol,Chl_0.4,0.4,0.769,17.225,,
B,2,69,13,3,Chloramphenicol,Chl_0.4,0.4,0.761,13.356,,
W,2,16,14,4,Chloramphenicol,Chl_0.4,0.4,0.773,21.997,,
W,2,41,14,4,Chloramphenicol,Chl_0.4,0.4,0.776,19.759,,
A,2,8,14,4,Chloramphenicol,Chl_0.4,0.4,0.761,15.478,,
A,2,9,14,4,Chloramphenicol,Chl_0.4,0.4,0.611,7.332,,
B,2,62,14,4,Chloramphenicol,Chl_0.4,0.4,0.752,15.026,,
B,2,69,14,4,Chloramphenicol,Chl_0.4,0.4,0.715,NA,leaf but no root,
BA,2,13,14,4,Chloramphenicol,Chl_0.4,0.4,0.725,12.533,,
BA,2,26,14,4,Chloramphenicol,Chl_0.4,0.4,0.684,2.891,,
A,2,8,15,5,Chloramphenicol,Chl_0.4,0.4,0.806,15.617,,
A,2,9,15,5,Chloramphenicol,Chl_0.4,0.4,0.798,14.659,,
B,2,62,15,5,Chloramphenicol,Chl_0.4,0.4,0.803,15.793,,
B,2,69,15,5,Chloramphenicol,Chl_0.4,0.4,0.773,11.265,,
BA,2,13,15,5,Chloramphenicol,Chl_0.4,0.4,0.8,13.961,,
BA,2,26,15,5,Chloramphenicol,Chl_0.4,0.4,0.739,5.521,,
W,2,16,15,5,Chloramphenicol,Chl_0.4,0.4,0.74,1.934,,
W,2,41,15,5,Chloramphenicol,Chl_0.4,0.4,0.806,17.524,,
A,2,8,16,1,Erythromycin,Ery_0.4,0.4,0.713,23.074,,
A,2,9,16,1,Erythromycin,Ery_0.4,0.4,0.626,6.058,,
B,2,62,16,1,Erythromycin,Ery_0.4,0.4,0.706,21.403,,
B,2,69,16,1,Erythromycin,Ery_0.4,0.4,0.71,5.039,,
BA,2,13,16,1,Erythromycin,Ery_0.4,0.4,0.639,18.584,,
BA,2,26,16,1,Erythromycin,Ery_0.4,0.4,0.724,20.538,,
W,2,16,16,1,Erythromycin,Ery_0.4,0.4,0.758,28.449,,
W,2,41,16,1,Erythromycin,Ery_0.4,0.4,0.761,28.309,,
B,2,62,17,2,Erythromycin,Ery_0.4,0.4,0.698,26.316,,
B,2,69,17,2,Erythromycin,Ery_0.4,0.4,0.705,19.658,,
BA,2,13,17,2,Erythromycin,Ery_0.4,0.4,0.645,15.075,,
BA,2,26,17,2,Erythromycin,Ery_0.4,0.4,0.744,20.119,,
