Genotype,F1,F2,Plate,Block,Drug,DC,Conentration,FvFm,Root,,
BA,2,26,48,3,Spectinomycin,Spec_2,2,0.378,NA,leaf but no root,
W,2,16,48,3,Spectinomycin,Spec_2,2,0.52,8.672,,
W,2,41,48,3,Spectinomycin,Spec_2,2,0.337,7.962,,
A,2,8,48,3,Spectinomycin,Spec_2,2,0.432,7.55,,
A,2,9,48,3,Spectinomycin,Spec_2,2,0.476,5.071,,
B,2,62,48,3,Spectinomycin,Spec_2,2,0.414,4.391,,
B,2,69,48,3,Spectinomycin,Spec_2,2,0.362,7.262,,
W,2,16,49,4,Spectinomycin,Spec_2,2,NA,NA,not germ,
W,2,41,49,4,Spectinomycin,Spec_2,2,0.473,10.08,,
A,2,8,49,4,Spectinomycin,Spec_2,2,0.463,8.169,,
A,2,9,49,4,Spectinomycin,Spec_2,2,0.447,5.701,,
B,2,62,49,4,Spectinomycin,Spec_2,2,0.452,6.466,,
B,2,69,49,4,Spectinomycin,Spec_2,2,0.369,5.784,,
BA,2,13,49,4,Spectinomycin,Spec_2,2,0.358,7.92,,
BA,2,26,49,4,Spectinomycin,Spec_2,2,0.508,5.25,,
A,2,8,50,5,Spectinomycin,Spec_2,2,0.483,6.704,,
A,2,9,50,5,Spectinomycin,Spec_2,2,0.445,4.336,,
B,2,62,50,5,Spectinomycin,Spec_2,2,0.416,5.388,,
B,2,69,50,5,Spectinomycin,Spec_2,2,0.483,5.475,,
BA,2,13,50,5,Spectinomycin,Spec_2,2,0.199,2.629,,
BA,2,26,50,5,Spectinomycin,Spec_2,2,0.426,5.812,,
W,2,16,50,5,Spectinomycin,Spec_2,2,0.438,5.674,,
W,2,41,50,5,Spectinomycin,Spec_2,2,0.468,11.614,,
